method,req,n,n_apps,calls_app1,max_app1,min_app1,mean_app1,std_app1,ovh_per_req,ct_per_req,calls_app2,calls_app3,max_app2,max_app3,min_app2,min_app3,mean_app2,mean_app3,std_app2,std_app3,calls_app4,calls_app5,max_app4,max_app5,min_app4,min_app5,mean_app4,mean_app5,std_app4,std_app5,calls_app6,calls_app7,max_app6,max_app7,min_app6,min_app7,mean_app6,mean_app7,std_app6,std_app7
rr,f,100,1,100,0.106838,0.054169,0.06457647,0.0109669971281613,0.0001227,0.00854415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rr,r,100,1,100,0.059475,0.054423,0.05548452,0.0007662745654137,0.0001574699999999,0.10543327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rr,s,100,1,100,0.06843,0.054342,0.05546191,0.001464838954254,0.00010393,0.0559787099999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rr,f,100,3,33,0.133687,0.055276,0.0828663636363636,0.022635454626996,0.0001320299999999,0.00561567,34.0,33.0,0.066162,0.10716,0.004461,0.005065,0.0205770588235294,0.0204806363636363,0.0132595351106093,0.0187220201299581,,,,,,,,,,,,,,,,,,,,
rr,r,100,3,33,0.056655,0.054699,0.0554281515151515,0.0006103685980848,0.00015607,0.0714971,34.0,33.0,0.008829,0.009023,0.003979,0.003937,0.0052805588235294,0.0055007272727272,0.000996000330474,0.0011364644876459,,,,,,,,,,,,,,,,,,,,
rr,s,100,3,33,0.06373,0.05441,0.0564328484848484,0.0016239627574698,0.0001156499999999,0.02275182,34.0,33.0,0.008879,0.010013,0.004003,0.003994,0.0054503235294117,0.0057045757575757,0.0012205324469887,0.0012285794958382,,,,,,,,,,,,,,,,,,,,
rr,f,100,5,20,0.111896,0.056201,0.0718313499999999,0.0122420054373252,0.00011294,0.00450179,20.0,20.0,0.045841,0.050587,0.007425,0.008683,0.02187115,0.02083395,0.0102838715826044,0.0112577459177004,20.0,20.0,0.054526,0.049705,0.008695,0.006123,0.02116555,0.0179546,0.0122669984408371,0.0101479477550882,,,,,,,,,,
rr,r,100,5,20,0.059019,0.054521,0.0557756,0.001131924750149,0.00016307,0.06568,20.0,20.0,0.006674,0.017438,0.004228,0.003957,0.0056723,0.0062129999999999,0.0006872601472513,0.0030600139215369,20.0,20.0,0.080717,0.006546,0.004078,0.003952,0.00963365,0.0052402999999999,0.0163931139484693,0.0006516110879965,,,,,,,,,,
rr,s,100,5,20,0.062286,0.054364,0.0561298999999999,0.0019566908263698,0.0001187799999999,0.01635701,20.0,20.0,0.007207,0.009633,0.003871,0.003704,0.0050677,0.005378,0.0008560125057497,0.0012739905808129,20.0,20.0,0.013051,0.015914,0.003905,0.003985,0.006624,0.0066531,0.002244474838353,0.0031956456296028,,,,,,,,,,
rr,f,100,7,14,0.155682,0.067866,0.0902865714285714,0.0252245311175855,0.0001217799999999,0.00622552,15.0,15.0,0.085527,0.072323,0.016066,0.01335,0.036417,0.0348524,0.0201594795832299,0.0167391200158988,14.0,14.0,0.083017,0.070173,0.016535,0.009506,0.0378992142857142,0.033055,0.0165798913798724,0.0154670879288895,14.0,14.0,0.072694,0.075021,0.012225,0.009386,0.0393693571428571,0.0293275,0.0173955139397947,0.0140860808842833
rr,r,100,7,14,0.057283,0.054759,0.055382,0.0006199368631447,0.00015198,0.06658809,15.0,15.0,0.009547,0.006242,0.004018,0.004157,0.005054,0.0048822,0.0012901051119966,0.0006515160985475,14.0,14.0,0.006944,0.027016,0.004144,0.004251,0.0051095,0.0063928571428571,0.0007803285709055,0.0057459002136572,14.0,14.0,0.007385,0.024316,0.004072,0.004157,0.0049262142857142,0.0066164285714285,0.0008258140726901,0.0050667736947163
